S. No.,hours,Minutes,TotalMinutes,Activity done on(date),Activity done at(time),ActivityDoneTimeNumeric,Activity logged on(date),Activity logged at(time),Category,Sub Category 1,Sub Category 2,Title,Description
1,12,21,741,12/03/20,16:15:24,16.256666666666668,12/03/20,16:15:24,*Select Main Category,Select Sub Category 1,Select Sub Category 2,,
1,2,21,141,12/03/20,16:16:02,16.26722222222222,12/03/20,16:16:02,*Select Main Category,Select Sub Category 1,Select Sub Category 2,,
1,12,21,741,12/03/20,16:16:06,16.26833333333333,12/03/20,16:16:06,*Select Main Category,Select Sub Category 1,Select Sub Category 2,,
1,12,12,732,12/03/20,16:16:07,16.26861111111111,12/03/20,16:16:07,*Select Main Category,Select Sub Category 1,Select Sub Category 2,,
1,12,1,721,12/03/20,16:16:09,16.269166666666667,12/03/20,16:16:09,*Select Main Category,Select Sub Category 1,Select Sub Category 2,,
1,1,1,61,12/03/20,16:16:13,16.27027777777778,12/03/20,16:16:13,*Select Main Category,Select Sub Category 1,Select Sub Category 2,,
1,5,1,301,12/03/20,16:16:16,16.27111111111111,12/03/20,16:16:16,*Select Main Category,Select Sub Category 1,Select Sub Category 2,,
1,21,21,1281,12/03/20,16:40:09,16.66916666666667,12/03/20,16:40:09,Cat2,Cat3,Select Sub Category 2,,
1,1,21,81,12/03/20,16:40:13,16.67027777777778,12/03/20,16:40:13,Cat2,Cat3,Select Sub Category 2,,
1,2,21,141,12/03/20,16:40:15,16.670833333333334,12/03/20,16:40:15,Cat2,Cat3,Select Sub Category 2,,
1,12,21,741,12/03/20,16:40:17,16.67138888888889,12/03/20,16:40:17,Cat2,Cat3,Select Sub Category 2,,
1,12,12,732,12/03/20,16:40:19,16.671944444444446,12/03/20,16:40:19,Cat2,Cat3,Select Sub Category 2,,
1,12,1,721,12/03/20,16:40:21,16.6725,12/03/20,16:40:21,Cat2,Cat3,Select Sub Category 2,,
1,12,1,721,12/03/20,16:40:25,16.67361111111111,12/03/20,16:40:25,Cat3,Cat3,Select Sub Category 2,,
1,1,1,61,12/03/20,16:40:28,16.674444444444447,12/03/20,16:40:28,Cat3,Cat3,Select Sub Category 2,,
1,4,1,241,12/03/20,16:40:31,16.67527777777778,12/03/20,16:40:31,Cat3,Cat3,Select Sub Category 2,,
1,45,1,2701,12/03/20,16:40:34,16.676111111111112,12/03/20,16:40:34,Cat3,Cat3,Select Sub Category 2,,
1,00,30,30,2020-12-02,02:30:00,2.5,12/03/20,17:22:01,Cat2,Cat2,Select Sub Category 2,Team meeting,Attended team meeting
1,12,21,741,12/03/20,17:40:41,17.678055555555556,12/03/20,17:40:41,Cat2,Cat2,Select Sub Category 2,,
