hours,Minutes,TotalMinutes,Activity done on(date),Activity done at(time),ActivityDoneTimeNumeric,Activity logged on(date),Activity logged at(time),Category,Title,Description
12,12,732,12/08/20,03:41:54,3.6983333333333337,12/08/20,03:41:54,Project C,,
12,12,732,12/08/20,03:41:57,3.6991666666666667,12/08/20,03:41:57,Meeting,,
12,12,732,12/08/20,03:41:58,3.6994444444444445,12/08/20,03:41:58,Meeting,sdasd,
12,12,732,12/08/20,03:42:01,3.700277777777778,12/08/20,03:42:01,Meeting,,
12,12,732,12/08/20,03:42:03,3.7008333333333336,12/08/20,03:42:03,Project A meeting,,
12,12,732,12/08/20,03:42:05,3.7013888888888893,12/08/20,03:42:05,Project A meeting,ssd,
1,12,72,12/08/20,03:42:06,3.7016666666666667,12/08/20,03:42:06,Project A meeting,ssd,
1,12,72,12/08/20,03:42:08,3.7022222222222223,12/08/20,03:42:08,Project C meeting,ssd,
1,12,72,12/08/20,03:42:11,3.7030555555555558,12/08/20,03:42:11,Project C meeting,ssd,
1,12,72,12/08/20,03:42:15,3.704166666666667,12/08/20,03:42:15,Project A,ssd,
5,12,312,12/08/20,03:42:18,3.705,12/08/20,03:42:18,Project A,ssd,
5,12,312,12/08/20,03:42:24,3.706666666666667,12/08/20,03:42:24,Project A,This is a test title,
5,12,312,12/08/20,03:42:26,3.707222222222222,12/08/20,03:42:26,Client Meeting,This is a test title,
5,12,312,12/08/20,03:42:28,3.707777777777778,12/08/20,03:42:28,Project B meeting,This is a test title,
12,3,723,12/08/20,06:20:19,6.338611111111111,12/08/20,06:20:19,Project C,,
12,34,754,12/08/20,06:20:51,6.3475,12/08/20,06:20:51,Project C,,
12,2,722,12/08/20,06:21:51,6.364166666666667,12/08/20,06:21:51,Project B,,
